ico_name,member_order,member_name,position,description,linktype,link,member_type
CryptoHIT,9,Nir Amihai,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/nir-amihai-5988946b/,advsisor
CryptoHIT,10,Igor Chernik,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/igor-chernik-02788663/,advsisor
CryptoHIT,11,Taras Guscha,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/gutako/,advsisor
CryptoHIT,12,Nathan Hawkes,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/nathanhawkes/,advsisor
INGOT COIN,1,Iman Mutlaq,Founder - INGOT Coin,Takes part in this project only,linkedin,https://www.linkedin.com/in/imanmutlaq/,normal
INGOT COIN,2,Ali Shibib,CEO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ali-shibib-3406891a/,normal
CryptoHIT,13,Dmitry Fedotov,ADVISOR,Participates in several projects,linkedin,https://www.linkedin.com/in/dmitrydfedotov/,advsisor
CryptoHIT,14,Arseniy Arhangelsky,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/%D0%B0%D1%80%D1%81%D0%B5%D0%BD%D0%B8%D0%B9-%D0%B0%D1%80%D1%85%D0%B0%D0%BD%D0%B3%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9-5945524a/,advsisor
CryptoHIT,15,Chris Wright,ADVISOR,Takes part in this project only,linkedin,https://www.linkedin.com/in/chriswrightnettonic/,advsisor
INGOT COIN,3,Ali Faqih,CFO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ali-faqih-cpa-cma-3621292a/,normal
INGOT COIN,4,Ahmed Khawanky,CMO,Takes part in this project only,linkedin,https://www.linkedin.com/in/ahmed-ibrahim-khawanky-3a57a0103/,normal
INGOT COIN,5,Zeid Madbak,CRO,Takes part in this project only,linkedin,https://www.linkedin.com/in/zeidmadbak/,normal
INGOT COIN,6,Bruno Bianchini,CSO,Takes part in this project only,linkedin,https://www.linkedin.com/in/bianchini-bruno-b947512/,normal
INGOT COIN,7,Hadi Varouqa,Art Director,Takes part in this project only,linkedin,https://www.linkedin.com/in/hadi-varouqa-7b1b262b/,normal
INGOT COIN,8,Saif El Din Murad,Marketing Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/saifmurad/,normal
INGOT COIN,9,Rashed Alkhzaie,ICO Strategist,Takes part in this project only,linkedin,https://www.linkedin.com/in/rashed-alkhzaie-712642b6/,normal
INGOT COIN,10,Haiyan Liu,Customer Services Manager,No participating data,website,https://www.ingotcoin.io/#,normal
INGOT COIN,11,Iyas Sartawi,Community Manager for Egypt,Takes part in this project only,linkedin,https://www.linkedin.com/in/iyassartawi/,normal
INGOT COIN,12,Mohammad Basyouni,Community Manager for Bahrain,Takes part in this project only,linkedin,https://www.linkedin.com/in/mohammad-rkan-basyouni-5651153b/,normal
INGOT COIN,13,Matthew McCrow,Community Manager for Australia,Takes part in this project only,linkedin,https://www.linkedin.com/in/matt-mccrow-44969210a/,normal
INGOT COIN,14,Rajkumar Kanagasingam,Community Manager for Sri Lanka,Takes part in this project only,linkedin,https://www.linkedin.com/in/rajkumarkanagasingam/,normal
INGOT COIN,15,Yin Lu,Community Manager for China,Takes part in this project only,linkedin,https://www.linkedin.com/in/forrest-lu/,normal
INGOT COIN,16,Hasan Al-Omari,Business Analyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/hasan-alomari-bb6a1986/,normal
INGOT COIN,17,Zaid Srour,Business Analyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/zaid-srour/,normal
INGOT COIN,18,Hossam Khawanky,Events Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/hossam-khawanky-15a61891/,normal
Neluns,1,Nick Thielman,"CEO, Co-Founder",No description,twitter,https://twitter.com/NickNeluns,normal
Neluns,2,Darrell Martin,"CTO, Co-Founder",No description,twitter,https://twitter.com/Darrellbit,normal
Neluns,3,Leslie Haynes,Director of Business Analysis and Audit Department.,No description,twitter,https://twitter.com/LeslieRHaynes,normal
Neluns,4,Patrick Skinner,Director of Software Development Department.,No description,twitter,https://twitter.com/patricknls,normal
Neluns,5,Madeline Williams,Director of Sales and Marketing Department,No description,twitter,https://twitter.com/Maddynls,normal
INGOT COIN,19,Khaled Faza,Financial Analyst,Takes part in this project only,linkedin,https://www.linkedin.com/in/khaled-fazaa-04b841b8/,normal
INGOT COIN,20,Ehab Aboushi,Back-end Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ehab-aboushi/,normal
INGOT COIN,21,Ashar Rawashdeh,Front-end Developer,Takes part in this project only,linkedin,https://www.linkedin.com/in/ashar-al-rawashdeh-589a4889/,normal
INGOT COIN,22,Esra Hatemi,Graphics & Motion Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/esra-hatemi-a86222aa/,normal
Sansox,1,Mikael Seppälä,Managing Partner,Takes part in this project only,linkedin,https://www.linkedin.com/in/mikael-sepp%C3%A4l%C3%A4-3077825/,normal
Sansox,2,Juhani Pylkkänen,Chief Engineer,Takes part in this project only,linkedin,ttps://www.linkedin.com/in/juhani-pylkk%C3%A4nen-b2542116/,normal
INGOT COIN,23,Jasveer singh,Business Development Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/jasveer10/,normal
INGOT COIN,24,Surabhi Dewra,Career R&D Manager,Takes part in this project only,linkedin,https://www.linkedin.com/in/surabhidewra/,normal
INGOT COIN,25,Leen Daoud,Senior Marketing Executive,Takes part in this project only,linkedin,https://www.linkedin.com/in/leen-daoud-03686b44/,normal
INGOT COIN,26,Mohamed Qasem,Junior Social Media Specalist,Takes part in this project only,linkedin,https://www.linkedin.com/in/mohammad-qasem-b292b236/,normal
INGOT COIN,27,Abdalqader Bani Doomi,Senior Graphics & Motion Designer,Takes part in this project only,linkedin,https://www.linkedin.com/in/abd-elqader-bani-doomi-b05905107/,normal
